Year,Date,Time,Location,Crash Type,Number of IMT Teams,Number of UHP Teams,RT,RT for IMT sec,RT for UHP,RT for UHP min,RT for UHP sec,RCT,RCT for IMT Numeric sec,Ln RCT for IMT,ICT,ICT for IMT Numeric sec,Ln ICT for IMT,ICT for UHP Numeric min,ICT for UHP Numeric sec,Ln ICT for UHP,Lanes at Bottleneck,Number of Lanes Closed,Lanes Available,Time Weighted Number of Lanes Closed,Roadway Capacity,Lane Ratio,AV,Ln AV,ETT,Ln ETT,EUC,Ln Cost,Time Range,T7-T5,T7T5,T7-T5 Sec,Ln T7-T5,T7T0,T7-T0 min,T7-T0 sec,Ln T7-T0,T5-T0,T5-T0 min,T5-T0 sec,Ln T5-T0,T5-T7 min,T5-T7 sec,Ln T5-T7
2018,4/10/18,17:24:03,3300 S I15 SB                                               ,PD Crash,1,3,,0,0:00:04,0.07,4,23.96666667,1438,3.176663976,23.96666667,1438,3.176663976,57.95,3477,8.153925132,6,2,4,2,0.67,0.333,5836,8.67180091,436.97,6.08,10605.77,9.27,PM Peak,0:36,36,2160,3.583518938,1:00,60,3600,4.094344562,0:24,24,1440,3.17805383,,,
2018,4/11/18,18:17:38,7400 S I15 SB                                               ,PI Crash,1,1,12.81666667,769.0000002,0:04:37,4.62,277,7.366666667,442,1.99696532,26.01666667,1561,3.258737358,71.17,4270,8.359369106,7,1,6,1,0.86,0.143,4280,8.361708289,88.3,4.48,2092.87,7.65,PM Peak,0:25,25,1500,3.218875825,0:35,35,2100,3.555348061,0:10,10,600,2.302585093,,,
2018,4/12/18,10:10:38,2100 S I215W NB                                             ,PI Crash,1,3,9,540,0:00:23,0.38,23,18.36666667,1102,2.910537428,49.26666667,2956,3.89724772,49.18,2951,7.989899375,4,1,3,1,0.75,0.25,1235,7.118826249,18.16,2.9,468.72,6.15,Afternoon Off Peak,0:01,1,60,0,0:20,20,1200,2.995732274,0:19,19,1140,2.944438979,,,
2018,4/13/18,5:37:50,12300 S I15 NB                                              ,PD Crash,1,3,69.75,4185,0:00:01,0.02,1,90.58333333,5435,4.506270237,90.58333333,5435,4.506270237,94.83,5690,8.646465527,6,4,2,4,0.33,0.667,20653,9.935615866,4407.22,8.39,114223.39,11.65,Morning Off Peak,2:41,161,9660,5.081404365,4:15,255,15300,5.541263545,1:34,94,5640,4.543294782,,,
2018,4/16/18,12:22:15,284059 I15 NB; MM 284 I15 NB                                ,PI Crash,1,6,24.2,1452,0:05:52,5.87,352,6.749999996,404.9999998,1.909542504,55.94999999,3356.999999,4.024458435,55.9,3354,8.117908942,7,1,6,1,0.86,0.143,2424,7.793174347,51.07,3.93,1371.99,7.22,Afternoon Off Peak,0:41,41,2460,3.713572067,0:45,45,2700,3.80666249,0:04,4,240,1.386294361,,,
2018,4/16/18,11:01:25,1767 N I15 SB                                               ,PD Crash,1,3,15.51666667,931.0000002,0:12:22,12.37,742,30.58333333,1835,3.420455198,66.48333333,3989,4.19695129,66.48,3989,8.291295852,4,1,3,1,0.75,0.25,2465,7.809947086,108.42,4.69,2947.43,7.99,Afternoon Off Peak,0:03,3,180,1.098612289,0:35,35,2100,3.555348061,0:32,32,1920,3.465735903,,,
2018,4/18/18,8:56:39,7700 S I15 SB                                               ,PD Crash,2,2,7.483333333,449,0:04:20,4.33,260,9.35,561,2.235376343,40.88333333,2453,3.710722482,73.45,4407,8.390949465,7,7,0,1.06,0.85,1,4954,8.50795061,222.56,5.41,5140.68,8.54,AM Peak,0:39,39,2340,3.663561646,0:50,50,3000,3.912023005,0:11,11,660,2.397895273,,,
2018,4/19/18,14:37:35,252015 I15 SB                                               ,PI Crash,3,6,9.033333333,542,0:05:23,5.38,323,66.41666667,3985,4.195948029,212.2833333,12737,5.35792186,212.25,12735,9.452109387,3,1,2,1,0.67,0.333,7252,8.889032572,556.92,6.32,15140.03,9.63,Afternoon Off Peak,,0,0,,,,,,0:54,,,,,,
2018,4/24/18,7:54:36,12900 S I15 NB                                              ,PD Crash,2,4,15.55,933,0:09:10,9.17,550,7.4,444,2.00148,42.88333333,2573,3.75848325,66.4,3984,8.290041619,7,2,5,1,0.86,0.286,10316,9.241451367,696.61,6.55,15397.07,9.64,AM Peak,1:48,108,6480,4.682131227,1:55,115,6900,4.744932128,0:07,7,420,1.945910149,,,
2018,4/24/18,17:34:43,285054 I15 SB                                               ,PI Crash,1,3,,0,0:10:46,10.77,646,21.5,1290,3.068052935,21.5,1290,3.068052935,66.9,4014,8.297543529,6,1,5,1,0.83,0.167,7844,8.967504187,574.51,6.35,13944.02,9.54,PM Peak,0:23,23,1380,3.135494216,1:20,80,4800,4.382026635,0:57,57,3420,4.043051268,,,
2018,4/25/18,9:20:53,14100 S I15 NB,PI Crash,2,4,13.21666667,793.0000002,0:10:21,10.35,621,34.11666667,2047,3.529786024,73.01666667,4381,4.290687726,72.78,4367,8.381831553,6,2,4,1.45,0.76,0.333,7295,8.894944461,621.42,6.43,16694.39,9.72,Afternoon Off Peak,0:45,45,2700,3.80666249,1:25,85,5100,4.442651256,0:40,40,2400,3.688879454,,,
2018,4/25/18,17:17:56,4500 S I15 SB                                               ,PI Crash,3,4,12.18333333,730.9999998,0:05:27,5.45,327,42.06666667,2524,3.739255662,58.16666667,3490,4.063312453,91.7,5502,8.612866941,7,2,5,2,0.71,0.286,6424,8.767796256,976.15,6.88,23692.29,10.07,PM Peak,0:20,20,1200,2.995732274,1:05,65,3900,4.17438727,0:45,45,2700,3.80666249,,,
2018,4/25/18,17:29:37,380 N I15 NB                                                ,PI Crash,1,1,,0,0:10:38,10.63,638,14.41666667,865.0000002,2.668384945,14.41666667,865.0000002,2.668384945,109.63,6578,8.791486027,5,1,4,1,0.8,0.2,6883,8.836809882,553.38,6.32,14338.33,9.57,PM Peak,0:38,38,2280,3.63758616,1:00,60,3600,4.094344562,0:22,22,1320,3.091042453,,,
2018,4/26/18,13:37:04,285054 I15 SB                                               ,PD Crash,2,6,1.8,108,0:01:44,1.73,104,44.93333333,2696,3.80517991,86.78333333,5207,4.463414591,97.82,5869,8.677439541,6,2,4,1.81,0.7,0.333,7909,8.975756631,761.74,6.64,20708.11,9.94,Afternoon Off Peak,0:13,13,780,2.564949357,0:55,55,3300,4.007333185,0:42,42,2520,3.737669618,,,
2018,4/26/18,18:41:54,8000 S I15 NB                                               ,PI Crash,3,5,32.91666667,1975,0:12:47,12.78,767,60.1,3606,4.096009842,161.0166667,9661.000002,5.08150788,234.58,14075,9.552155453,6,5,1,3.67,0.39,0.833,12529,9.435801236,4098.08,8.32,105349.63,11.57,Night Off Peak,1:43,103,6180,4.634728988,2:45,165,9900,5.105945474,1:02,62,3720,4.127134385,,,
2018,4/27/18,6:58:43,256997 I15 NB                                               ,PI Crash,1,6,42,2520,0:09:02,9.03,542,63.28333333,3797,4.147621998,86.83333333,5210,4.463990572,125.03,7502,8.922924931,3,2,1,2,0.33,0.667,2271,7.727975542,573.36,6.35,12672.89,9.45,AM Peak,,-2,-120,,1:00,60,3600,4.094344562,1:02,62,3720,4.127134385,2,120,0.693147181
